YEAR,SEX,MARSTAT,RELCURR,RELDLIFE,STAYTOG,HIEDUC
2011_2013,f,"Separated, because you and your spouse are not getting along",Catholic,Very important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Disagree,College degree
2011_2013,f,Never been married,Catholic,Somewhat important,Agree,No high school degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Never been married,Catholic,Very important,Agree,No high school degree
2011_2013,f,Never been married,None,N/A,Agree,No high school degree
2011_2013,f,Never been married,Christian,Somewhat important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Agree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Agree,No high school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Catholic,Somewhat important,Agree,College degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Catholic,Somewhat important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Agree,Graduate degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,College degree
2011_2013,f,Never been married,Christian,Very important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Very important,Agree,High school degree
2011_2013,f,Divorced or annulled,None,N/A,Agree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,No high school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,College degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Christian,Somewhat important,Agree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Divorced or annulled,Catholic,Very important,Disagree,Graduate degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Agree,College degree
2011_2013,f,Never been married,Christian,Very important,Disagree,No high school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Divorced or annulled,Other religion,Somewhat important,Agree,Graduate degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Divorced or annulled,Christian,Somewhat important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,Graduate degree
2011_2013,f,Never been married,Other religion,Very important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",None,N/A,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Agree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Agree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Catholic,Very important,Agree,No high school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,Graduate degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Never been married,None,N/A,Agree,High school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Catholic,Somewhat important,Agree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Agree,Graduate degree
2011_2013,f,Never been married,Other religion,Very important,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,Graduate degree
2011_2013,f,Divorced or annulled,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Other religion,Very important,Agree,Graduate degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Never been married,None,N/A,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Widowed,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Other religion,Somewhat important,Agree,College degree
2011_2013,f,Never been married,None,N/A,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,High school degree
2011_2013,f,Divorced or annulled,None,N/A,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Not important,Agree,High school degree
2011_2013,f,Never been married,None,N/A,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Other religion,Somewhat important,Agree,College degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Somewhat important,Agree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Agree,No high school degree
2011_2013,f,Never been married,Christian,Somewhat important,Agree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Agree,College degree
2011_2013,f,Never been married,None,N/A,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,College degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Catholic,Not important,Other,College degree
2011_2013,f,Never been married,Catholic,Very important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Not important,Agree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Agree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,Graduate degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Other religion,Very important,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Not important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Catholic,Very important,Agree,College degree
2011_2013,f,Never been married,Other religion,Very important,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Divorced or annulled,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Agree,College degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Very important,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Agree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,College degree
2011_2013,f,Never been married,Catholic,Very important,Agree,High school degree
2011_2013,f,Never been married,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,College degree
2011_2013,f,Never been married,Christian,Very important,Agree,Graduate degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,None,N/A,Agree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Agree,Graduate degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Catholic,Very important,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,College degree
2011_2013,f,Never been married,None,N/A,Agree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Divorced or annulled,None,N/A,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Disagree,Graduate degree
2011_2013,f,Never been married,None,N/A,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Somewhat important,Agree,High school degree
2011_2013,f,Divorced or annulled,None,N/A,Agree,College degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Agree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Agree,No high school degree
2011_2013,f,Divorced or annulled,Christian,Somewhat important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Agree,College degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Not important,Agree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Very important,Agree,No high school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Agree,No high school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,None,N/A,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Other religion,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,Other religion,Not important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Never been married,Catholic,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,Graduate degree
2011_2013,f,Never been married,None,N/A,Disagree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Somewhat important,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Catholic,Very important,Agree,College degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,None,N/A,Agree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Agree,High school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Agree,College degree
2011_2013,f,Never been married,Christian,Somewhat important,Agree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,No high school degree
2011_2013,f,Divorced or annulled,Other religion,Very important,Agree,No high school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Very important,Agree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Somewhat important,Agree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Divorced or annulled,Other religion,Very important,Disagree,College degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Agree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Somewhat important,Agree,College degree
2011_2013,f,Never been married,None,N/A,Disagree,College degree
2011_2013,f,Divorced or annulled,Other religion,Very important,Disagree,High school degree
2011_2013,f,Never been married,Other religion,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Agree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Very important,Agree,High school degree
2011_2013,f,Divorced or annulled,Catholic,Very important,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Catholic,Somewhat important,Agree,High school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Agree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Other religion,Somewhat important,Other,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,College degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Disagree,College degree
2011_2013,f,Never been married,Christian,Very important,Disagree,College degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Catholic,Very important,Other,College degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Agree,High school degree
2011_2013,f,Never been married,Other religion,Very important,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Catholic,Somewhat important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Disagree,Graduate degree
2011_2013,f,Never been married,None,N/A,Disagree,College degree
2011_2013,f,Divorced or annulled,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Not important,Agree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Agree,College degree
2011_2013,f,Never been married,Christian,Not important,Agree,High school degree
2011_2013,f,Never been married,Catholic,Not important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,None,N/A,Agree,Graduate degree
2011_2013,f,Never been married,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,High school degree
2011_2013,f,Divorced or annulled,Other religion,Very important,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Agree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,No high school degree
2011_2013,f,Never been married,None,N/A,Agree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,College degree
2011_2013,f,Never been married,Catholic,Not important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Agree,Graduate degree
2011_2013,f,Never been married,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,None,N/A,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,Graduate degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Very important,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,Graduate degree
2011_2013,f,Married to a person of the opposite sex,Christian,Not important,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Agree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Not important,Agree,High school degree
2011_2013,f,Never been married,Christian,Very important,Agree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,"Separated, because you and your spouse are not getting along",None,N/A,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Never been married,Catholic,Very important,Agree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Somewhat important,Agree,High school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,College degree
2011_2013,f,Never been married,Christian,Very important,Agree,No high school degree
2011_2013,f,Never been married,Christian,Not important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Other religion,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Other religion,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Agree,No high school degree
2011_2013,f,Never been married,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Agree,No high school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Disagree,Graduate degree
2011_2013,f,"Separated, because you and your spouse are not getting along",None,N/A,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,Graduate degree
2011_2013,f,Never been married,Christian,Somewhat important,Agree,Graduate degree
2011_2013,f,Never been married,Catholic,Somewhat important,Disagree,High school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Agree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,High school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Somewhat important,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Other religion,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,College degree
2011_2013,f,Never been married,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Other religion,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Very important,Agree,No high school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Catholic,Not important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Catholic,Somewhat important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,Graduate degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Catholic,Very important,Disagree,No high school degree
2011_2013,f,Never been married,Catholic,Very important,Agree,Graduate degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Catholic,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Agree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,None,N/A,Agree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,None,N/A,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Disagree,High school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Never been married,None,N/A,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Agree,College degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Other religion,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Agree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,College degree
2011_2013,f,Married to a person of the opposite sex,Christian,Very important,Agree,No high school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Never been married,Christian,Very important,Disagree,College degree
2011_2013,f,Married to a person of the opposite sex,Other religion,Very important,Disagree,High school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Disagree,College degree
2011_2013,f,Never been married,Other religion,Somewhat important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Somewhat important,Disagree,Graduate degree
2011_2013,f,Never been married,Other religion,Very important,Disagree,College degree
2011_2013,f,Never been married,Christian,Very important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Catholic,Very important,Disagree,Graduate degree
2011_2013,f,Never been married,Christian,Very important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,No high school degree
2011_2013,f,Married to a person of the opposite sex,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Divorced or annulled,Christian,Very important,Disagree,High school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Somewhat important,Agree,High school degree
2011_2013,f,"Separated, because you and your spouse are not getting along",Christian,Somewhat important,Agree,No high school degree
2011_2013,f,Not married but living together with a partner of the opposite sex,Christian,Somewhat important,Disagree,High school degree
2011_2013,f,Married to a person of the opposite sex,Other religion,Not important,Disagree,Graduate degree
